game_id,genre
43877,Action
43877,Shooter
3474,Action
3474,Adventure
3474,Puzzle
18272,Action
18272,RPG
10548,Action
10548,RPG
10073,RPG
10073,Strategy
28492,Action
28492,Shooter
28492,RPG
3990,Action
3990,Adventure
559,RPG
559,Simulation
10419,Adventure
10419,Indie
3757,Adventure
3757,RPG
3740,Action
3740,Adventure
3740,Indie
3740,Puzzle
3740,Platformer
19542,Action
19542,Shooter
59359,Action
59359,Adventure
2572,Simulation
2572,Sports
2572,Racing
21265,Action
21265,Shooter
4954,Action
4954,Indie
1244,RPG
1244,Strategy
1244,Indie
14348,Action
14348,RPG
15859,Action
15859,RPG
56184,Action
56184,Shooter
8146,Action
857,Action
857,Adventure
9475,Indie
865,Action
865,Shooter
3015,Action
3015,Indie
19384,Action
19384,RPG
19384,Indie
4639,RPG
3486,Adventure
3486,Puzzle
18241,Action
18241,Adventure
6617,Action
6617,Shooter
4550,Action
4550,Shooter
3932,Action
3932,Shooter
16112,Action
16112,Adventure
3771,Platformer
58755,Action
28623,Action
492,Action
492,RPG
5562,Shooter
5562,RPG
17875,Action
17875,Indie
17875,Platformer
3028,Action
3028,Adventure
817974,Casual
29338,Action
17126,Action
17126,RPG
1169,Action
1169,Adventure
7819,Action
7819,Shooter
7819,Indie
42187,Strategy
42187,Simulation
42187,Casual
1959,Action
1959,Simulation
1959,Casual
1959,Indie
3842,Shooter
42,Adventure
42,Indie
5703,Action
19365,Shooter
3892,Action
3892,Shooter
21924,Action
21924,Shooter
3408,Action
3408,Shooter
3408,Arcade
3408,Indie
1774,Adventure
1774,Puzzle
5159,Action
624,Strategy
624,Simulation
624,Indie
28199,Action
28199,Adventure
28199,Platformer
2623,Action
2623,Shooter
2873,Adventure
2873,Indie
2873,Puzzle
2733,Action
2733,Indie
2733,Platformer
9609,Simulation
9609,Indie
28559,Action
28559,RPG
28559,Strategy
16209,Strategy
16209,Simulation
16209,Indie
9600,Action
9600,Adventure
9600,Indie
274762,Action
274762,Shooter
274762,Adventure
274762,RPG
11276,Action
11276,Shooter
11686,Action
11686,Shooter
11686,Adventure
11686,Indie
23322,Strategy
23322,Simulation
58753,Racing
58753,Arcade
15834,Action
15834,Adventure
22511,Action
22511,Adventure
22511,RPG
22781,Adventure
22781,Puzzle
16343,Adventure
16343,Arcade
16343,Casual
16343,Indie
16343,Platformer
58617,Action
58617,Shooter
58617,Adventure
58617,RPG
3371,Action
3371,RPG
752,Action
4440,Action
4440,RPG
16113,Action
16113,Adventure
13194,Action
13194,Adventure
13194,RPG
13194,Casual
13194,Indie
20406,Action
20406,Shooter
20406,Massively Multiplayer
18336,Action
18336,Shooter
