game_id,tag
58175,Story Rich
58175,Third Person
58175,Fantasy
58175,Gore
58175,Exploration
58175,Violent
58175,Action-Adventure
58175,Action RPG
58175,Hack and Slash
58175,exclusive
58175,3D
58175,Crafting
58175,combat
58175,true exclusive
58175,3rd-Person Perspective
58175,Blood
58175,PvE
58175,Emotional
58175,Souls-like
58175,Mythology
58175,Remote Play on TV
3070,Singleplayer
3070,Steam Achievements
3070,Full controller support
3070,Steam Cloud
3070,Atmospheric
3070,Great Soundtrack
3070,RPG
3070,Story Rich
3070,Open World
3070,First-Person
3070,Third Person
3070,Sci-fi
3070,FPS
3070,Exploration
3070,Sandbox
3070,Survival
3070,Action RPG
3070,Third-Person Shooter
3070,Post-apocalyptic
3939,Singleplayer
3939,Steam Achievements
3939,Multiplayer
3939,Full controller support
3939,steam-trading-cards
3939,Great Soundtrack
3939,Co-op
3939,cooperative
3939,First-Person
3939,FPS
3939,Online Co-Op
3939,Funny
3939,Stealth
3939,Tactical
3939,In-App Purchases
3939,Team-Based
3939,Crime
3939,PvE
3939,Heist
3939,Gun Customization
1030,Singleplayer
1030,Full controller support
1030,Atmospheric
1030,2D
1030,Horror
1030,Difficult
1030,Action-Adventure
1030,Pixel Graphics
1030,Controller
1030,Dark
1030,controller support
1030,Short
1030,Dark Fantasy
1030,Physics
1030,Side Scroller
1030,Cinematic
1030,combat
1030,Linear
1030,Surreal
1030,Puzzle-Platformer
1030,Minimalist
1030,2D Fighter
1030,Noir
1030,Family Sharing
1030,2D Platformer
1030,2D-платформер
1030,2D-файтинг
11859,Steam Achievements
11859,Multiplayer
11859,steam-trading-cards
11859,Co-op
11859,cooperative
11859,First-Person
11859,Partial Controller Support
11859,FPS
11859,Online Co-Op
11859,Funny
11859,Comedy
11859,Free to Play
11859,Tactical
11859,stats
11859,Steam Workshop
11859,Cross-Platform Multiplayer
11859,Includes level editor
11859,Moddable
11859,In-App Purchases
11859,Captions available
11859,Crafting
11859,Team-Based
11859,Competitive
