game_id,platform
430,PC
430,iOS
430,PlayStation 4
430,PS Vita
430,PlayStation 2
430,Xbox
5583,PlayStation 3
5583,Xbox 360
5583,macOS
5583,PC
5583,Xbox One
5583,PlayStation 4
3144,Linux
3144,Nintendo Switch
3144,Wii U
3144,Xbox 360
3144,PlayStation 4
3144,PS Vita
3144,Android
3144,Web
3144,PC
3144,macOS
4514,PlayStation 4
4514,PlayStation 3
4514,Xbox 360
4514,PC
4514,Xbox One
4514,Nintendo Switch
362,Xbox One
362,PlayStation 4
362,PC
3841,Xbox 360
3841,Xbox One
3841,PC
3841,Nintendo Switch
3841,Wii U
3841,PlayStation 3
3841,PlayStation 4
58812,Xbox Series S/X
58812,PlayStation 5
58812,Xbox One
58812,PlayStation 4
58812,PC
257201,PlayStation 4
257201,PC
257201,PlayStation 5
257201,Xbox One
11934,Linux
11934,macOS
11934,PC
4570,PlayStation 3
4570,PC
4570,Xbox One
4570,Xbox 360
2462,PlayStation 5
2462,PlayStation 4
4806,PC
4806,Xbox One
4806,PlayStation 3
4806,Xbox 360
3017,Xbox One
3017,PlayStation 4
3017,PC
3604,Nintendo Switch
3604,PC
3604,Linux
3604,Xbox One
3604,PlayStation 4
3604,macOS
3543,Linux
3543,macOS
3543,PC
3543,PlayStation 3
3543,Xbox 360
3543,Android
50738,PC
50738,PlayStation 4
19301,Xbox
19301,Linux
19301,macOS
19301,PC
3603,PlayStation 4
3603,Xbox One
3603,Nintendo Switch
3603,PC
3603,macOS
3603,Linux
13535,PC
13535,Xbox 360
13535,macOS
11142,PlayStation 4
11142,macOS
11142,PC
11142,Xbox One
11142,Nintendo Switch
3747,Xbox 360
3747,PC
3747,PlayStation 3
3747,PlayStation 4
3747,Xbox One
108,PC
108,Xbox One
108,PlayStation 4
3636,PlayStation 4
274755,PlayStation 5
274755,Xbox Series S/X
274755,PlayStation 4
274755,Nintendo Switch
274755,PC
274755,Xbox One
10141,PlayStation 4
10141,Nintendo Switch
10141,PC
10141,Xbox One
11147,Android
11147,Linux
11147,macOS
11147,PC
11147,iOS
4513,Xbox 360
4513,PlayStation 3
4513,Xbox One
4513,PC
4166,Xbox One
4166,Xbox 360
4166,PlayStation 3
4166,PC
326292,Xbox One
326292,PlayStation 4
326292,PC
326292,Nintendo Switch
326292,Xbox Series S/X
46889,PlayStation 4
46889,Xbox One
46889,PC
3191,PC
3191,Xbox One
3191,PlayStation 4
3191,Xbox 360
3191,Linux
3191,macOS
613,PlayStation 4
613,PS Vita
613,Xbox One
613,PC
613,iOS
613,Linux
613,Nintendo Switch
613,Xbox 360
613,macOS
22509,Android
22509,PS Vita
22509,PlayStation 4
22509,PlayStation 3
22509,Xbox 360
22509,Nintendo 3DS
22509,Nintendo Switch
22509,macOS
22509,PC
22509,iOS
22509,Wii U
22509,Xbox One
22509,Linux
10989,macOS
10989,PC
10989,PlayStation 4
10989,Xbox One
10989,Nintendo Switch
25,PC
25,Xbox One
