game_id,store
2462,PlayStation Store
4806,Xbox Store
4806,PlayStation Store
4806,Steam
4806,Xbox 360 Store
3017,PlayStation Store
3017,Xbox Store
3017,Steam
3604,Nintendo Store
3604,PlayStation Store
3604,Steam
3604,GOG
3604,Xbox Store
3604,App Store
3604,Epic Games
3543,Steam
3543,Xbox 360 Store
3543,PlayStation Store
3543,Google Play
3543,App Store
50738,Xbox Store
50738,PlayStation Store
50738,Epic Games
50738,Steam
19301,Steam
3603,Epic Games
3603,Nintendo Store
3603,PlayStation Store
3603,Xbox Store
3603,Steam
3603,GOG
3603,App Store
13535,Steam
13535,Xbox 360 Store
11142,Epic Games
11142,PlayStation Store
11142,Nintendo Store
11142,Steam
11142,GOG
3747,PlayStation Store
3747,App Store
3747,Xbox Store
3747,Steam
3747,Xbox 360 Store
108,App Store
108,PlayStation Store
108,Xbox Store
108,Steam
108,Google Play
3636,PlayStation Store
274755,Steam
274755,Nintendo Store
274755,Epic Games
274755,PlayStation Store
274755,Xbox Store
10141,Steam
10141,Xbox Store
11147,Steam
11147,App Store
11147,Google Play
4513,PlayStation Store
4513,Xbox Store
4513,Steam
4513,Xbox 360 Store
4166,Xbox Store
4166,PlayStation Store
4166,Steam
4166,Xbox 360 Store
326292,Xbox Store
326292,Epic Games
326292,PlayStation Store
326292,Steam
326292,Nintendo Store
46889,Steam
46889,PlayStation Store
46889,Xbox Store
3191,PlayStation Store
3191,Xbox Store
3191,Steam
3191,Xbox 360 Store
3191,App Store
3191,GOG
613,itch.io
613,Xbox Store
613,Steam
613,GOG
613,Nintendo Store
613,PlayStation Store
613,Xbox 360 Store
613,App Store
22509,Nintendo Store
22509,App Store
22509,PlayStation Store
22509,Google Play
22509,Xbox Store
10989,PlayStation Store
10989,Steam
10989,Xbox Store
10989,Nintendo Store
25,GOG
25,PlayStation Store
25,App Store
25,Xbox Store
25,Steam
25,Google Play
17576,Epic Games
17576,Steam
17576,App Store
9810,PlayStation Store
9810,App Store
9810,Google Play
9810,Epic Games
9810,Steam
9810,Xbox Store
9810,Nintendo Store
480,PlayStation Store
480,Xbox Store
480,Steam
923,Steam
923,PlayStation Store
923,Xbox Store
10065,Steam
10065,PlayStation Store
10065,Xbox Store
10065,Nintendo Store
10065,Epic Games
3387,PlayStation Store
3254,App Store
3254,Steam
3254,PlayStation Store
3254,Epic Games
17572,Epic Games
17572,Steam
17572,Xbox 360 Store
9743,Nintendo Store
9743,Xbox Store
9743,PlayStation Store
9743,Steam
45969,PlayStation Store
45969,Steam
45969,Xbox Store
13910,PlayStation Store
13910,Steam
13910,Xbox 360 Store
13910,Google Play
13627,Nintendo Store
13627,Steam
13627,GOG
13627,PlayStation Store
13627,Xbox Store
13554,Epic Games
13554,Steam
13554,GOG
28179,Steam
28179,PlayStation Store
5525,Xbox Store
5525,PlayStation Store
5525,GOG
5525,Steam
5525,Xbox 360 Store
5525,itch.io
5525,App Store
18240,PlayStation Store
18240,Steam
18240,GOG
18240,Xbox 360 Store
18240,Xbox Store
18240,App Store
18240,Google Play
18240,Nintendo Store
18240,Epic Games
1416,Xbox Store
1416,Steam
1416,Xbox 360 Store
1416,PlayStation Store
23585,Steam
23585,PlayStation Store
23585,Xbox Store
3687,Steam
3687,Epic Games
3687,PlayStation Store
3687,Nintendo Store
3687,Xbox 360 Store
3687,Xbox Store
51329,PlayStation Store
51329,Xbox Store
51329,Steam
51329,Epic Games
2361,PlayStation Store
2361,Xbox Store
2361,GOG
2361,Steam
2361,App Store
2361,Xbox 360 Store
28201,PlayStation Store
28201,GOG
28201,Steam
28201,Xbox Store
28201,Epic Games
2743,GOG
2743,PlayStation Store
2743,Steam
2743,Epic Games
1450,Epic Games
1450,PlayStation Store
1450,Xbox Store
1450,Steam
1450,GOG
1450,Nintendo Store
1450,App Store
9830,App Store
9830,Nintendo Store
9830,Steam
9830,PlayStation Store
9830,Xbox Store
9830,Google Play
50734,Xbox Store
50734,Steam
50734,PlayStation Store
4280,PlayStation Store
4280,Steam
4280,Xbox 360 Store
3931,Xbox Store
3931,PlayStation Store
3931,Steam
3931,Xbox 360 Store
8488,Epic Games
8488,Xbox Store
8488,PlayStation Store
8488,Steam
2819,PlayStation Store
2819,Xbox Store
2819,Steam
2819,GOG
2819,Nintendo Store
2093,PlayStation Store
2093,GOG
2093,Steam
2093,Xbox Store
2093,Nintendo Store
58616,PlayStation Store
58616,Nintendo Store
58616,Epic Games
58616,Steam
58616,Xbox Store
3556,GOG
3556,Steam
3556,PlayStation Store
3556,App Store
3556,Xbox 360 Store
3556,Xbox Store
3556,Epic Games
3556,Google Play
3556,Nintendo Store
4223,Xbox Store
4223,PlayStation Store
4223,Steam
4223,Xbox 360 Store
58654,Xbox Store
